Mensaje,Clasificación,,,,,,,,,,,,,,,,,
Puras habaldurias mi estimado,-1,,,,,,,,,,,,,,,,,
Animo pariente cuente con mi apoyo y ojala gane .Saludos,1,,,,,,,,,,,,,,,,,
Están tomando atole de masa para el susto,0,,,,,,,,,,,,,,,,,
Ánimo pariente tiene todo mi apoyo puro para delante,1,,,,,,,,,,,,,,,,,
Ningún Rajado #Puropadelante @Gustavo ALMADA,1,,,,,,,,,,,,,,,,,
Ya esta aquí, ya esta aquí El que va a sacar el pri,1,,,,,,,,,,,,,,,,
bien dicho sr. gustavo estamos con usted ya sabe,1,,,,,,,,,,,,,,,,,
! Tu síguele tocayo. Ahí la llevas.,1,,,,,,,,,,,,,,,,,
#puropadelante y Cajeme no se rinde,1,,,,,,,,,,,,,,,,,
Eso es todoooo sr gustavo   lo admiro,1,,,,,,,,,,,,,,,,,
Puro para adelante Gustavo!!!,1,,,,,,,,,,,,,,,,,
Gustavo presidente,1,,,,,,,,,,,,,,,,,
Igual, podía jugar sin miedo en la calle, descalza todo el día, hasta que me gritaban que me metiera.,1,,,,,,,,,,,,,,
Yo era una niña muy feliz me encantaba el baile ,  jugar , cantar una niña muy optimista.😀☺😀😁😂😃,0,,,,,,,,,,,,,,,
Así te recuerdo jaja,0,,,,,,,,,,,,,,,,,
Muy bonita tarde disfrutando del talento de tanto niño y niña, gracias a nuestras próximas autoridades por su colaboracion!,0,,,,,,,,,,,,,,,,
Muy emotivo festejo, los niños y niñas encantados con sus regalos y con  el festival.,0,,,,,,,,,,,,,,,,
Excelente evento gran ambiente familiar que gusto ver a tantos niños y niñas felices,0,,,,,,,,,,,,,,,,,
Que bueno bien merecido el festejo a los niños saludos desde Pueblo Yaqui,0,,,,,,,,,,,,,,,,,
Muy lindo festival! Amigo Gustavo y sea Beatriz Aldama Roncal felicidades por este bello evento,0,,,,,,,,,,,,,,,,,
Salieron muy contentos todos los niños, felicidades,0,,,,,,,,,,,,,,,,
Muy buen evento, una tarde muy agradable con toda la familia,0,,,,,,,,,,,,,,,,
"BENDICIONES!!!!!! 
LOS NIÑOS SON LA PARTE, MÁS IMPORTANTE EN CADA FAMILIA..... 
BENDICIONES AL SR. ALMADA, POR HACERLE DIVERTIDA, LA VIDA A ,1",,,,,,,,,,,,,,,,,,
"PRECIOSO!!!!!! 
UNA DE LAS ESPECIES, QUE MÁS ME GUSTAN, BENDICIONES!!!!!!,1",,,,,,,,,,,,,,,,,,
El es bello... Buen perro,0,,,,,,,,,,,,,,,,,
Las dos cosas...es un perro feliz!!,0,,,,,,,,,,,,,,,,,
🤟🎸,0,,,,,,,,,,,,,,,,,
Felicidades y muchas bendiciones para toda su familia  Gustavo Almada hermoso su nieto,1,,,,,,,,,,,,,,,,,
Felicidades para toda la familia y a disfrutar al nuevo miembro de la familia.,0,,,,,,,,,,,,,,,,,
BENDICIONES EN GRANDE P LA VIDA DE ESTE ANGELITO.... Y  P USTEDES...  EN FAMILIA,  IGUAL.,0,,,,,,,,,,,,,,,,
Que importante evento en la familia...el sacramento del bautismo...felicidades a toda la familia!!,0,,,,,,,,,,,,,,,,,
Muchas felicidades y bendiciones a ese hermoso bb y toda la fam Dlb,0,,,,,,,,,,,,,,,,,
Muchas felicidades y bendiciones para el bebé, Saludos para todos Sr. Gustavo Almada!!,1,,,,,,,,,,,,,,,,
Felicitaciones y bendiciones para el pequeño recibiendo su primer sacramento y para toda la familia un fuerte abrazo.,0,,,,,,,,,,,,,,,,,
Muchas felicidades a toda la familia Gustavo Almada, saludos a la Betty 😁😘🙋,1,,,,,,,,,,,,,,,,
Felicidades y bendiciones para toda su bella familia!,1,,,,,,,,,,,,,,,,,
Enhorabuena Muchas Felicidades y Bendiciones por siempre,1,,,,,,,,,,,,,,,,,
Felicidades a los abuelos y por supuesto a los papas! Un abrazo 🤗,0,,,,,,,,,,,,,,,,,
Muchas Felicidades a los abuelos y bendiciones al pequeño!!,0,,,,,,,,,,,,,,,,,
Muchas felicidades abrazo bendicones,0,,,,,,,,,,,,,,,,,
Muchas felicidades Dios los bendice.,0,,,,,,,,,,,,,,,,,
Muchas felicidades a toda la familia,0,,,,,,,,,,,,,,,,,
Muchas felicidades Gustavo y a toda tu familia!,1,,,,,,,,,,,,,,,,,
Bien por la familia Gustavo saludos,1,,,,,,,,,,,,,,,,,
Muchas felicidades a toda la familia !!,0,,,,,,,,,,,,,,,,,
Muchas Felicidades Gustavo les mando un Abrazo🐥,0,,,,,,,,,,,,,,,,,
Felicidades a toda la familia Almada,0,,,,,,,,,,,,,,,,,
Felicidades Dios los bendiga,0,,,,,,,,,,,,,,,,,
Muchas felicidades,0,,,,,,,,,,,,,,,,,
Felicidades al hermoso bebé.,0,,,,,,,,,,,,,,,,,
Felicidades a la familia,0,,,,,,,,,,,,,,,,,
Muchas felicidades,0,,,,,,,,,,,,,,,,,
Mínimo si se van a colgar el mérito los rojos que no detengan la iniciativa !!!🤬,-1,,,,,,,,,,,,,,,,,
Ya es tiempo de hacer cambios asertivos! Vota por los candidatos de MC!,1,,,,,,,,,,,,,,,,,
Estamos contigo Gustavo echele ganas por el cambio de sonora,1,,,,,,,,,,,,,,,,,
Afianzamos mas nuestro apoyo para usted Gustavo Almada esas acciones negativas de esos partidos mas se estan evidenciando y para nosotros lo,1,,,,,,,,,,,,,,,,,
muy bien gustavo ya estamos almados y hasta la madre del pri y pan,1,,,,,,,,,,,,,,,,,
Los PRIISTAS no tienen vergüenza, ya es demasiado el descaro,1,,,,,,,,,,,,,,,,
Priistas rajones y corruptos,1,,,,,,,,,,,,,,,,,
Excelente Gustavo 👍👍!!,1,,,,,,,,,,,,,,,,,
Saludos... Señor Gustavo almada,1,,,,,,,,,,,,,,,,,
Gracias por compartir la noticia. 🙌,1,,,,,,,,,,,,,,,,,
Ustedes puro pa delante,1,,,,,,,,,,,,,,,,,
Que vergüenza tener a esas personas en el gobierno no esperábamos menos de PRI siempre con sus mañas los bueno es que ya falta menos para sa,1,,,,,,,,,,,,,,,,,
Saludar,0,,,,,,,,,,,,,,,,,
Y todavía se quieren adjudicar dicho acto 😡 FUERA EL PRIAN,1,,,,,,,,,,,,,,,,,
Saludos , éxito,1,,,,,,,,,,,,,,,,
Saludos!!!!!,1,,,,,,,,,,,,,,,,,
👋,0,,,,,,,,,,,,,,,,,
Así es Sr Almada y Diputado Scott...que bueno que invitan a los ciudadanos a presionar a los Senadores correspondientes...PuroPaDelante,1,,,,,,,,,,,,,,,,,
vamos fuera la basura    ya basta desprierten    vamos por el cambio,1,,,,,,,,,,,,,,,,,
En cd. Obregón no hay otra persona más honesta que el Sr Gustavo Almada mi voto está seguro para Gustavo porque se que va a convertir a Caje,1,,,,,,,,,,,,,,,,,
El maestro Celso Aguilar tiene toda la razon! #PuroPaDelante,1,,,,,,,,,,,,,,,,,
Vamos pa' delante con todo sr. Almada.,1,,,,,,,,,,,,,,,,,
Nuestro futuro presidente!!!!,1,,,,,,,,,,,,,,,,,
Tiene toda la razón está señora, porque ya que obtienen el apoyo no los vuelves a ver, si acaso te enteras que votan asuntos que nos perjudi,0,,,,,,,,,,,,,,,
jajajajaja eso es todoooooooooo puebloooo no nos dejemos menos de estos caones felicidades a esta valiente señora.,0,,,,,,,,,,,,,,,,,
Jajaja el pueblo ya está cansado de estos políticos corruptos del pri,1,,,,,,,,,,,,,,,,,
Que gusto da ver que la gente no se deja estamos muy artos  de los politicos de siempre,1,,,,,,,,,,,,,,,,,
Que bueno que hubo quien le dijera sus verdades a este cabron con su risa tan cinica!,-1,,,,,,,,,,,,,,,,,
Así hizo la Palafox. Se subió al camión y elevó la tarifa.,-1,,,,,,,,,,,,,,,,,
que patan el tipo, ni el asiento le dio a la mujer,0,,,,,,,,,,,,,,,,
Si pura hipocresía...estos políticos,-1,,,,,,,,,,,,,,,,,
asi o mas claro!,0,,,,,,,,,,,,,,,,,
Le aplaudo a esta señora,0,,,,,,,,,,,,,,,,,
Duro i a la kbza, sstodo doña..,0,,,,,,,,,,,,,,,,
A pero nadie brinco con ella ,,ella sola ablo,0,,,,,,,,,,,,,,,
Felicidades señora,0,,,,,,,,,,,,,,,,,
Calladito lo dejaron!!,0,,,,,,,,,,,,,,,,,
Si ya debemos decir basta,0,,,,,,,,,,,,,,,,,
De ésas  personas nesecita  México,1,,,,,,,,,,,,,,,,,
ASI ES PARIENTE.LOS POLÍTICOS POR TAL DE GANAR VOTOS BUSCAN MEJORES ESTRATEGIAS PARA GANARSE ALA GENTE.ÉL EJEMPLO ESTA CON ESE DIPUTADO QUE ,1,,,,,,,,,,,,,,,,,
Que valiente mujer, salvo lo de los indigentes que yo no lo sabía y no me consta, todo lo demás que le dijo es cierto, aunque no le dio la o,1,,,,,,,,,,,,,,
Muy bien para que vean q ya la ya estamosartos de q nos roven,q,,,,,,,,,,,,,,,,,
JHAAHJAHAJHAJHAJAHJAHAJHAJAHAJHAJAHAJHAJAHJAHAJHAJHAJAHA,0,,,,,,,,,,,,,,,,,
Muy hermoso árbol por eso debemos educar a la gente que los cuide les de agua atención  abrazo saludos Sr. Almada usted si sabe,1,,,,,,,,,,,,,,,,,
Hermosa foto, Dios lo bendiga y tenga un hermoso día, saludos ......,1,,,,,,,,,,,,,,,
Qué belleza hace mi Cristo Jesús!! Esa es naturaleza de Dios ...Dios le bendiga Sr.Gustavo Almada!!,1,,,,,,,,,,,,,,,,,
"Que hermoso 🌳
Y bienvenida la primavera y sus calores 
Saludos Sr. Almada,1",,,,,,,,,,,,,,,,,,
Bonita señor y lo felicito le quedo muy bien su publicidad saludos,1,,,,,,,,,,,,,,,,,
Mas que bella y lo que le sigue saludes..,1,,,,,,,,,,,,,,,,,
cmo q es la primavera d Arizona,0,,,,,,,,,,,,,,,,,
Bellísima amigo Gustavo Almada saludos!,1,,,,,,,,,,,,,,,,,
Lluvia,de oro . Se da mucho en cocorit :),1,,,,,,,,,,,,,,,,
Parece huacaporo,0,,,,,,,,,,,,,,,,,
Que parte de cocorit es? Pa ir,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Gracias a la propuesta de los diputados de MOVIMIENTO CIUDADANO. por fin les van a poner una traba a los politicos curruptos!!!,1,,,,,,,,,,,,,,,,,
Esta si es noticia, gracias MOVIMIENTO CIUDADANO, PURO PA'DELANTE!!!,1,,,,,,,,,,,,,,,
Bendito Dios ya era hora!!! Gracias a Movimiento Ciudadano y vamos por más.,1,,,,,,,,,,,,,,,,,
"Un logro más de Movimiento Ciudadano. Enhorabuena!!
La ciudadanía sin duda alguna es la que sale ganando.,1",,,,,,,,,,,,,,,,,,
Excelente noticia este es solo el principio de los cambios necesarios en el país necesita vamos por gobiernos que si quieran hacer los neces,1,,,,,,,,,,,,,,,,,
Excelente iniciativa por parte de MC. Basta de politicos corruptos #PuroPaDelante Sr. Gustavo 😊,1,,,,,,,,,,,,,,,,,
"Cuánto daño han hecho muchos ""políticos"" con este fuero mal usado! Diputados hagan historia!,-1",,,,,,,,,,,,,,,,,,
Hola don Gustavo le da gusto saludarlo, y si ya esta decretado, éxito y que dlb,,,,,,,,,,,,,,,,
Gustavo eso sí es una muy buena mi voto está más seguro ya se les llegó la hora de salir corriendo al los corruptos muchas felicidades le ma,1,,,,,,,,,,,,,,,,,
Excelente noticia!!... Copyright : Movimiento Ciudadano!!....,1,,,,,,,,,,,,,,,,,
Angel Duarte  lo sabias ? ahora si el que robe se va a ir a prision👊 yo no soy de México pero me interesa lo que pasa allá 😊,1,,,,,,,,,,,,,,,,,
💪🏻,0,,,,,,,,,,,,,,,,,
IEE Sonora,0,,,,,,,,,,,,,,,,,
Agradecemos el apoyo a la Liga, una de las más grandes de cajeme con 38 equipos, donde estamos registrados cerca de 700 jugadores, en verdad,1,,,,,,,,,,,,,,
"El deporte y la educación son las mejores herramientas de la juventud, gracias por su apoyo Sr. Gustavo Almada.
Además, que orgullo que llev,1",,,,,,,,,,,,,,,,,,
Felicidades Gustavo Almada, la ciudadanía te reconoce por ser un hombre de pasos firmes y confiables!,1,,,,,,,,,,,,,,,,
La sin nombre le dicen a la liga! Felicidades!,1,,,,,,,,,,,,,,,,,
Felicidades que gane el mejor #PuroPaDelante,1,,,,,,,,,,,,,,,,,
Excelente apoyo al deporte Gustavo #puropadelante,1,,,,,,,,,,,,,,,,,
Una buena decisión apoyar el deporte de veteranos y jóvenes es por ello que reconocen el esfuerzo y compromiso de Gustavo Almada con esa dis,1,,,,,,,,,,,,,,,,,
no han publicado en Facebook.  Que pasa vamos Almados hasta el triunfo. sigo estado con usted,1,,,,,,,,,,,,,,,,,
Ya es tiempo de lanzar strikes.vamos por todo,1,,,,,,,,,,,,,,,,,
Que padre Omar...felicidades!!! 👍⚾,1,,,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,,,
Se ve que si hay compromiso y congruencia, felicidades,1,,,,,,,,,,,,,,,,
Quizá sea buena la intención, pero el fuero NO se renuncia así nada mas. Sin duda es un paso, pero no es así de sencillo. Saludos,1,,,,,,,,,,,,,,,
Ojala así fueran siempre no solo en campaña,-1,,,,,,,,,,,,,,,,,
un granito de arena de cada ciudadano haremos una  playa en cajeme así que yo ya tengo mi traje de baño y tú ya estás listo SÚMATE al gran e,1,,,,,,,,,,,,,,,,,
Ese PRI Corrupto, se tiene que ir !!.....,1,,,,,,,,,,,,,,,,
Para poder lograr sacar a los corruptos debemos aplicar nuestro derecho a elegir y solo saliendo a votar lo conseguiremos,1,,,,,,,,,,,,,,,,,
La vez pasada no fue el pueblo el que se vendio, si no el que gano...,-1,,,,,,,,,,,,,,,,
#NomeRindo Gustavo Presidente 👍🏻,1,,,,,,,,,,,,,,,,,
no vamos a rendirnos hasta la victoria. puro para Delante seguimos trabajando en nuestro alrededor estamos con movimiento naranja.,1,,,,,,,,,,,,,,,,,
Buenas tardes don Gustavo, no ay que rendirse PuroPadelante!! Dios lo bendiga.....,,,,,,,,,,,,,,,,,
Puro'padelante Gustavo Almada . Para atrás ni para agarrar impulso. La ciudadanía necesita de un cambio verdadero,1,,,,,,,,,,,,,,,,,
Así es Gustavo Cajeme no se rinde y con personas como menos puro padelante,1,,,,,,,,,,,,,,,,,
Muy bien señor buenas tardes,1,,,,,,,,,,,,,,,,,
Muchas bendiciones Señor Almada, estoy segura que ganara y a la vez ganamos todos!,1,,,,,,,,,,,,,,,,
Puro pa'delante Sr Almada...el cambio esta por llegar!!!!,1,,,,,,,,,,,,,,,,,
Mucha suerte. Falta muy poco para el verdadero cambio...,1,,,,,,,,,,,,,,,,,
Vamos amigo Gustavo ! # puro para delante sin detenerse,1,,,,,,,,,,,,,,,,,
Ya somos dos,0,,,,,,,,,,,,,,,,,
Mucha suerte suerte sr almada,1,,,,,,,,,,,,,,,,,
Cajeme no se rinde !!!!,1,,,,,,,,,,,,,,,,,
Vamos por todooo 💪🏽🙏,1,,,,,,,,,,,,,,,,,
Amigo soy Federico Chávez me urge hablar con usted,1,,,,,,,,,,,,,,,,,
6449985405,,,,,,,,,,,,,,,,,,
Na na na na na,0,,,,,,,,,,,,,,,,,
Me encanta como hambres con voluntad, pueden lograr tanto, con tan pocos recursos. Que harían si junto a esa voluntad le agregáramos el apoy,1,,,,,,,,,,,,,,,
Espero que entiendan la magnitud de la responsabilidad que tendrian si han de ganar, pues significa que muchos confiaron en ustedes, con eso,1,,,,,,,,,,,,,,,
Mi voto al igual que hace tres años es para usted señor Gustavo Almada con todo el favor de Dios espero y se nos haga justicia por que en ve,1,,,,,,,,,,,,,,,,,
Les deseo muchos éxitos. Y se que van a ganar. Dios los bendiga. Cajeme merece el cambio para bien. Y se que ustedes harán la diferencia.,1,,,,,,,,,,,,,,,,,
Muchas felicidades......Cajeme merece lo mejor para salir del bache en el que cayó y se que  nos representarán con dignidad y valor .....¡¡¡,1,,,,,,,,,,,,,,,,,
Pues si dices que desde 2015 vienes trabajando por los cajemenses.... Enumera lo que has hecho en estos tres años para tener un juicio real ,1,,,,,,,,,,,,,,,,,
Ya salió el peine porque andaba limpiando Uriel  los callejones nadie hace nada gratis  esos son los candidatos de el cambio jajajaja.!!,1,,,,,,,,,,,,,,,,,
Y este año empezaremos a ver el fruto de ese esfuerzo Gustavo. Un gran Equipo listo para sacar adelante a Cajeme,1,,,,,,,,,,,,,,,,,
Rodeese de gente con espíritu de servicio que ayuden  a que salga adelante nuestro Municipio. puro almada para delante.,1,,,,,,,,,,,,,,,,,
Estamos Almados de sueños que se volverán realidad este 01 de julio..... todos en la lucha!!!!!,1,,,,,,,,,,,,,,,,,
Si se toman fotos y se miran muy simpáticos , pero ganan y se vuelven prepotentes con el pueblo que los eligió....,1,,,,,,,,,,,,,,,,
Mi familia y yo estamos contigo Sr. Almada....vamos con todo y puro pa'delante,1,,,,,,,,,,,,,,,,,
Adelante sr. Almada, claro que los juniors y los de siempre no quieren dejar lugar a nadie más pero ya es hora de que una persona luchadora ,1,,,,,,,,,,,,,,,,
Yo todavía tengo la esperanza de que Cajeme crezca y más que nada que con la palabra del pueblo 💪🏻,1,,,,,,,,,,,,,,,,,
"Este tiempo es el de cosechar todos los frutos de todo el trabajo que se ha realizado!
Puro pa delante,1",,,,,,,,,,,,,,,,,,
Un equipo fuerte, decidido y empático con las necesidades ciudadanas!!.....Vamos !!!!,1,,,,,,,,,,,,,,,,
Ya confíe una vez en ti, te di  mi voto, y mi familia también, y traicionastes la confianza que se te dió, ahora ya no cuentes con los votos,1,,,,,,,,,,,,,
Hay que traer gente  de verdad comprometida con hacer algo por el municipio y que no ande haciendo vídeos para sacar publicidad y colarse pa,-1,,,,,,,,,,,,,,,,,
Tiene mas de 50 años de edad y solo tiene 3 años viendo la problematica de cajeme, pues entonces donde vivia??,-1,,,,,,,,,,,,,,,,
Un hombre que se acerca al pueblo de una forma humilde y decidido a luchar por su bienestar merece el apoyo... Bichaubicha,1,,,,,,,,,,,,,,,,,
Quisiera saber que hicieron en contra del gazolinazo que no han dejado de jodernos a diario no hablaremos  del indice de delincuencia  lo qu,-1,,,,,,,,,,,,,,,,,
Seguimos en lo dicho gustavo estamos contigo cahuamanta marios central,1,,,,,,,,,,,,,,,,,
"Equipo de 💯 para Cajeme.
Enhorabuena!!,1",,,,,,,,,,,,,,,,,,
Vamos por un Mejor Cajeme el que nos merecemos. Saludos,1,,,,,,,,,,,,,,,,,
Mejor equipo ... Imposible ! Felicidades !,1,,,,,,,,,,,,,,,,,
También estamos bien almados#puro pa delante,1,,,,,,,,,,,,,,,,,
Seguro que si. seguimos más Almados que nunca. por ke se tiene que hacer.,1,,,,,,,,,,,,,,,,,
Muy dificil para que lo alcansen sr. Almada. Les lleva mucha ventaja.,1,,,,,,,,,,,,,,,,,
Todos los dias, esperando el mes de Julio 🙌,0,,,,,,,,,,,,,,,,
Tambien Gustavo Almada hoy es Cuando viva el cambio,1,,,,,,,,,,,,,,,,,
"Vamos ""almados"" hasta los dientes pa delante,1",,,,,,,,,,,,,,,,,,
Bien Almados!!! .. Puro padelante... Saludos Sr Almada,1,,,,,,,,,,,,,,,,,
Mucha suerte gustavo...vamos con todo .. !!!!,1,,,,,,,,,,,,,,,,,
Estamos #bienalmados y vamos #puropadelante,1,,,,,,,,,,,,,,,,,
Ya esta aquí ,ya esta aquí,  El que va a sacar al pri,1,,,,,,,,,,,,,,,
Puro padelante GUSTAVO. Con todo el POWER,1,,,,,,,,,,,,,,,,,
No pos yo tmbn jajaja,0,,,,,,,,,,,,,,,,,
Excelente Gustavo, #PuroPaDelante,1,,,,,,,,,,,,,,,,
Estamos con usted Puro PaDelante!!,1,,,,,,,,,,,,,,,,,
Tambien.,0,,,,,,,,,,,,,,,,,
Te Veo !!,0,,,,,,,,,,,,,,,,,
Listos 2018-2021 !,1,,,,,,,,,,,,,,,,,
100% movimiento ciudadano!!,1,,,,,,,,,,,,,,,,,
Al cien,1,,,,,,,,,,,,,,,,,
#puropadelante bien #almados,1,,,,,,,,,,,,,,,,,
Y yo,0,,,,,,,,,,,,,,,,,
✋,0,,,,,,,,,,,,,,,,,
Verónica es una ciudadana que va a darle nuevos aires a la forma de hacer política, que realmente beneficie a los ciudadanos.,1,,,,,,,,,,,,,,,,
En el congreso podrás representar al ciudadano común y participar en aprobar y presentar iniciativas de ley que se deriven en progreso y bie,1,,,,,,,,,,,,,,,,,
Michas gracias por sus palabras, voy con todas las ganas, mi corazon y mi sencillez y sobre todo... con ganas de ver a Cajeme digno de una v,1,,,,,,,,,,,,,,,
Veronica no te conozco personalmente pero te felicito empiezas bien sigue igual,0,,,,,,,,,,,,,,,,,
TODOS BOTOS SON PARA GUSTAVO ALMADA  SI SEÑOR NIMGUNO PARA OTRO PINCHI CANDIDATO,1,,,,,,,,,,,,,,,,,
Todo el exito para ti Veronica Montoya. Proxima diputada!!!!,1,,,,,,,,,,,,,,,,,
#puro pa delante hermosa tu puedes junto a este gran equipo ! Todos estamos almados ya,1,,,,,,,,,,,,,,,,,
Mucho Éxito Verónica Montoya!!! Todos juntos lo lograremos,1,,,,,,,,,,,,,,,,,
Se que con tu juventud tu tenacidad y tu entuciasmo por cambiar la forma de hacer politica de los partidos de siempre lograras llegar al con,1,,,,,,,,,,,,,,,,,
Y en que invertirá ese7 dinero que se le otorga para campaña?,0,,,,,,,,,,,,,,,,,
Cuenta con todo el apoyo Verónica Montoya , política desde la ciudadanía,1,,,,,,,,,,,,,,,,
Cajeme distinguirá bien lo que el momento requiere. Vas a ganar!,1,,,,,,,,,,,,,,,,,
Verónica mucho éxito y puropadelante,1,,,,,,,,,,,,,,,,,
Excelente la mejor formula.,1,,,,,,,,,,,,,,,,,
Nomás tres para que muerdan el polvo, ánimo!!! Y uro PA'DELANTE,1,,,,,,,,,,,,,,,,
Esos ya están ponchados y sin batear. La serie es nuestra !,1,,,,,,,,,,,,,,,,,
La fe es uno de los pilares de nuestra convicción Ing. Almada la fe en dios es la más fuerte que existe y que está fe lo acompañe para poder,1,,,,,,,,,,,,,,,,,
"Con
Dios lo tenemos.todo
Señor
Gustavo
Puro padelamte,1",,,,,,,,,,,,,,,,,,
