Mensaje,Clasificación
Viva AMLO y SANTOS,1
AMLO presidente,1
Adelante Santos,1
Un gran honor ser tu hermano... Y sigues conservando ese gran amor de niño... Felicidades...,1
Buen día. Saludos y felicitaciones a todos los niños. Y tambien a todos los adultos que sigue n teniendo corazon de niño.,1
"Felicidades a todos los niños, un fuerte abrazo para todos.",1
Felicidades!! A todos los niños.,1
"Por amor a nuestros niños y niñas es que estamos buscando un cambio con justicia y bienestar!!!vamos con morena!!!
Un abrazo fraterno compañero.",1
"Pronto nuestros niños no sufrirán hambre, los candidatos en Morena lucharán para que acabe la pobreza, vamos mi gente.",1
"Lo triste es que de 10 niños, 5 viven en la pobreza en México
Fuente: La jornada de hoy lunes",-1
Feliz día a los pekes todos somos MORENA,1
"Es todo mi jefe así se hacen las cosas, vamos adelante vamos con todo, mi respeto y apoyo",1
Me hubiera gustado ir para oír propuestas,-1
Es todo morena por todo San Luis,1
"Muy bien Lic, aquí estamos apoyando.",1
No le aflojen a darle,-1
Muy bien,1
MORENA👏🏼👏🏼👏🏼,1
Adecer en el mezquite 2 porque aquí no oí publicidad,-1
Donde estan,-1
viejon visite la topahue,-1
Esperemos lo mejor de ustedes con morena estaremos muy vien,1
"Es importante apoyar a la juventud en sus estudios. 
Hoy presente y bases para el futuro.",1
"Pasos cortos y fimes pero que avanzan para mejor calidad de vida
#AMOLO",1
Hoy es el momento de los jóvenes...,1
Necesito una bandera de morena para mi casa,1
Para ambos mucho éxito en el día de las elecciones. Ocupamos un cambio radical para nuestro país y nuestro Municipio.,1
vamos todos con morena la esperanza de mexico mi voto y el de mi familia van por ustedes,1
"Son personas con valores morales y luchadores sociales de toda la vida, con la finalidad de acabar con la desigualdad social.",1
"Yo y los míos estamos con 
Santos G. Yescas y 
Lopez Obrador
MORENA 2018",0
"Vamos con todo morena 2018, basta de gente corrupta que nomas buscan el voto y nunca se te vuelven aparecer en tu colonia,  vamos un cambio total y onesto morena 2018",1
Jose laborin. Muchas gracias por tu voto y confianza al candidato municipal. Santos gonzalez yescaz. Y lo mismo te pido para el sr. Andres manuel lopez obrador.  Ocupamos el voto para todo el grupo de morena.  Muchas gracias. Amigo,1
"Sin lugar a dudas los mejores candidatos tanto a nivel federal como municipal,los más honestos y con mejores propuestas",1
Así lo dije anteriormente el municipio necesita gente honesta y ese es Santos Yescas,1
Hombres honestos preparados y humildes...,1
Vamos contodo señor presite porque este año es para usted y los suyos todos con MORENA ASINOMAS,1
Con humildad. Ambos son persistentes y honrrados,1
Nuestros gallos!!,1
Sin duda alguna,1
Gente con la gente !!! Animo Morena.....,1
Honestos y dispuetos a luchar por el pueblo,1
saludos vamos por el triunfo,1
Duro mi candidato,1
Claro que sí son honestos,1
Un cambio verdadero y seguro.,1
Gracias teddy por tu opinion. Y aparte traen la yuca. No hay pierde,1
"Que sea carro completo, por qué si solo gana Obrador no tendrá apoyo para que pueda hacer sus cambios.",0
Par de ases,1
solo usted santos....el peje..no..sorry,-1
Y el 1 de julio vamos a ganar también con morena xke México quiere un cambio y juntos vamos a darle la presidencia al Lic.andres Manuel López Obrador.todo México por el cambio mexicanos unidos seremos la gran fuerza de México si se puede juntos asta la victoria.viva México,1
México ya está enfadado de tanta mentira queremos el cambio.. vamos con AMLO..,1
Gracias México merece un buen gobierno y que mejor que el señor López Obrador. Yo y tu tenemos que votar por morena la buena,1
¿Y se revisó el contenido de los tweets con dicho hashtag? No me sorprendería que el uso sea despectivo.,1
Ahí nomás debate y redes es todo,1
vamos con amlo,1
Órale con taron a mi compadre,1
Animo AMLO es el mejor,1
seguiremos subiendo las preferencias hacia amlo tenemos que llegar al 80% para no dejar ninguna duda ya casi llegamos vamos todos masivamente por la esperanza de mexico morena,1
"AMLO gana el debate... 

AMLO gana la elección... 

AMLO Presidente 2018-2024...",1
Hoy subimos un peldaño más . Ya mero lo logramos todos con AMLO PRESIDENTE,1
"Todo un ganador .
Amlo #morena",1
Asi sera  con amlo,1
Vamos con AMLO,1
Yo con AMLO!!!,1
AMLO2018,1
Así será....,1
Todo nuestro apoyo AMLO.!!!,1
asi es viva mexico,1
La experiencia fue la que gano el debate.,1
AMLO presidente 2o18 fuersa Mexico todos unidos si se puede viba la Democracia animo compañeros no caigan no mas prian y los q diguen a morena tienen q ser honestos y si no el pueblo lo demanda,1
"vamos amlo ya lo lograstes seran nuestro presidente ya es irreversible las encuestan lo dicen y nos da un enorme gusto ser gobernado por una persona honesta como lopez obrador, primero los pobres esa frase me encanta en hora buena sr. presidente",1
Dios lo bendiga ! AMLO Y SUERTE la mayoria esta con usted,1
Asies   y asi sera  santos Gonzalez  yescas  🖒,1
"Vamos con todo compañero, arriba AMLO",1
Vamos con todo morena va,1
"Tu puedes andres acaba con ellos,,,",1
Vamos con todo amlo 2018,1
Pues ohajala no le saken al tigre k tray pok eso es lo k kieten estas personitas para poder chingarle la mente ala ciudadania por cualkier detalle k diga nuestro proximo precidente adelante se  k tu puedes controlarte de lante de estos personajes k kieren destruirte  sr Adres Lopez Obrador confismos en ti k no te saken el tigre todo con Calma,-1
Que Dios lo ayude AMLO a no dejar que lo saquen de sus casillas como suelen hacer los de la mafia del poder y mas ahora que todos van contra el🙌 que Dios lo bendiga,1
Todo estaba muy bien.. hasta que el baldenebro se integró a morena.. así ya no creo !!!!,1
En donde va salir el devate,0
Dios lo proteja de esas ratas,1
#MorenaVa 👍🏼,1
Es muy inportante cuidar nuestra Ecositema y Ecologia seamos mas consientes y responsables,0
Hagamos conciencia y no tiremos basura en la calle y sembremos un árbol es lo menos que podemos hacer por la madre tierra.,0
En el principio Dios creó los cielos y la tierra Dios es el que suple nuestras nesecidades.  Dios creo todo. Cuidemos lo que el hizo seamos buenos administradores,0
A  cuidarla... No tenemos otra casa a donde ir...,0
Urge incluir el tema en la agenda política de todos los candidato s,-1
Y el dia del gran DEBATE!!,-1
"Muy buen evento Santos Gonzales Yescas, felicidades y vamos juntos con MORENA",1
AMLO BAMOS CON TODO aremos historia presidente cenadores y diputados fuersa Mexico todos unidos si se puede viba Mexico 😀😀😀👍✌✌,1
Ahí estuvimos con mucho gusto de saludar nuestro futuro presidente!!,1
y x ay dise el prian ke no hubo gente aki están las pruebas ke la venida de amlo a San Luis fue un fenómeno y eso ke fue lunes VIVA MORENA VIVA AMLO VIVA MEXICO KE X FIN TENDRA UN BUEN PRESIDENTE KE ARA KE MEXICO VUELBA A VIVIR Y ESTAR VIEN,1
Q bien y eso q fue lunes !! Y q la pista la lleno el presidente de tierra y las puertas del bosque cerradas con candado..eso dice q hay temor..y nosotros decimos q tenemos la victoria AMLO será nuestro presidente..,0
"A pesar de ser lunes, y 11:00 am fue todo un éxito gracias a muchos compañeros ante la labor. ardua para llegar a buen camino MORENA va!!",1
Así es nuestro presidente y será otra ves el presidente de mexico❤❤❤❤ vamos Andrés Manuel,1
"Vamos con AMLO ,SANTOS y con todos los candidatos de morena para tengamos mayoría si se pude démosle la oportunidad a gente buena y trabajadora vamos sanluisino tu pides",1
El triunfo es inminenente,1
bamos con todo con morena boto masivo,1
Amonoooos !!,1
este Sr será nuestro presidente,1
Felicidades Líder!!!!,
El 🐓 David E Ivette Sandoval Kevin Meza Angel Valencia Chaki Medina Ernesto Suárez,1
Ricardo Covarrubias ves,0
Apoyando a MORENA. Gente inteligente juntos haremos historia. Todo para adelante Santos González,1
Apoyo total SANTOS nuestro siguiente presidente,1
Esperemos que este empresario haga una buena reflexión y se quede apoyar a Santos Yescas ya que los dos son contadores y saben de administrar dinero,-1
Acuerdate santos yescas lo que dijo lopez obrador..vamos a separar lo politico con el poder economico..,1
Hojala que el empresario luis carlos valencia recapacite y nos venda litros de gasolina de a litro.,1
Aguas con la cartera santos..😂,-1
que bien que Luis Valencia esdta en esto,0
Felicidades Santos por el evento estoy seguro que vamos por buen camino para la transformación que queremos todos los mexicanos.,1
"Felicidades Santos, sacaste adelante un gran compromiso 👍",1
Mpmentos muy emotivo y trascendental en la transformacion del Pais en SanLuis Rio Colorado.,1
"La transformación de San Luis Río Colorado... De Sonora... Y de México... Ya está en marcha... 

AMLO Presidente de la República 2018-2024...",1
"Excelente evento, gente con convicción. Todos apoyando. Saludos",1
Muy buen evento Santos puro para delante a ganar,1
Ya ganamos,1
Al 100 con morena,1
Mi voto para usted,1
AMLO ✔ ✔ ✔ 💯 SI SE PUEDE ✔ ✔ ✔ 💯 💯 💯,1
Muy bien el  sr Lopez  Obrador,1
Puro morena 2018,1
El valde les va a tumbar votos Lic. Santos...  nomas les afecta...  Yo fui priista y no quisiera tener q votar x los mismos con otra camiseta.,1
Excelente evento Santos y el peje muy contento con la reacción del sanluisino,1
"Espero poder acompañarlos.
Se apreciaba un éxito rotundo.
El cambio que se requiere definitivamente.",0
exelente evento esepto que estava el balde nebro que aqui en san luis no goberno nada bien ojala y reconsideren el apoyo a el,1
Urgía un cambio total  en México y ya es un hecho  morena triunfa  de la maní de los mexicanos  viva. Mexici,1
Todo esta bien pero ay un grano negro en el arroz y ya saben kien,-1
TODO ESTUVO BIEN PERO YO NO COMPARTO EL CHAPULINEO HAY MUCHO DE DONDE ECHAR MANO COMO PARA ECHAR A PERDER LAS COSAS DÁNDOLE OPORTUNIDAD A ALGUIEN QUE NO QUISO HACER BIEN LAS COSAS CUANDO TUVO LA OPORTUNIDAD,-1
Digame santos yescas como fue que entro el dr baldenebro a morena...lo mire en el mitin y me parecio exteaño.,-1
Todo estuvo perfecto pero Baldenebro no se que hace ahi ....!,-1
Bamos con todo AMLO para presidente,1
"AMLO,nuestro proximo presidente",1
Ánimo yo voy con MORENA y AMLO.,1
Éxito mi estimado y Felicidades x este evento!!!!!,1
vamos con todo a apoyar a morena,1
"y eso que era Lunes los trabajadores en sus trabajos pero fueron mas de 5000, personas sin torta ni frusty",1
Los esperamos amigos! 👍🏼 sabemos que la hora es complicada pero hagamos un esfuerzo!,1
"No queremos ni PRI ni PaN ,, MORENA por bien o por mal , tiempo del cambio",1
"Lo saludas de mi parte, muchos nos quedamos con ganas de ir a verlo pero pues la chamba lo
Impidió 😳",1
No podre asistir xk estoy en tijuana pero mi voto es para el sin duda,1
Muy Bien X Amlo 2018 Ai Estuvimos y Muy. Buena Cantidad De Personas !! Se Vio El Apoyo !! Muy Bien !!,1
Morena y no hay otro..,1
Anónimo peje si se puede,1
No podre Asictir  pero mi voto es seguro para el,1
AMLO PARA PRESIDENTE👍👍👍💗,1
Viva amlo muera el prian,1
Si ai estaremos,1
Hay que ir pa ver que onda,1
mi voto por lopez obrador,1
Vamos por el cambio  k necesita San luis.. un saludo desde Indianápolis..,1
Saludos Santos !! Les deseo que todo Salga bi en. Arriba Morena.,1
Que chido que allá tendran a nuestro proximo mandatario,1
10 am como va a ir la gente pues que nadie trabaja o que?  Jajajaja o todos son jefes?,-1
Si no le damos la oportunidad a otro partido no sabremos del verdadero cambio pero a la chingada el PRI y el PAN 👎,0
Arriba morena si se puede nesecitamos el cambio hay k quitarnos la Pinchi venda de los ojos 👍👌💪👏,0
Estamos con ustedes mi gente queremos un cambio   para mi san luisito querido❤,1
Arriva lopez obrador oaxaca todo sonmo morena voto masivo amlo vamo contodo,1
apollenlo pues si esta loko a lomejor es el unico loko que aga algo mejor que toda la bola de ratas que estan ahorita hahhahahahahahahahaahahh   xd,1
Otro pinche data para quenos hacemos pendejos puros rateros como Enrrique Reina,-1
Morena!,1
Porque de color azul las camisas del baldenebro,1
Fuertes y valientes. Me siento orgullosa de peetenecer al gremio de maestros con la camiseta bien puesta. Por Amlo y Santos 2018. Llego la hora del cambio verdadero.,1
Soy Maestra y estoy con AMLO y SANTOS YESCAS 👊,1
Amlo es mi presidente de la Republica mexicana ✔✔✔💯💯💯,1
Eso habla de un buen liderazgo. Me gusta. Felicidades,1
AMLO Presidente,1
AMLO2018 VAMOS CON TODO!!!,1
"Felicidades.
El cambio se siente ya en todo el País.",1
Apoyar al peje y a santos,1
99% de los maestros estamos con MORENA carro completo,1
Todos con AMLO,1
Todos por el cambio todos con AMLO.2018 todos asta la victoria,1
AMLO 2018 con todo :),1
AMLO 2018,1
AMLO 2018,1
Claro ahí estaremos,1
"Estoy con AMLO al , 💯/💯",1
Amlo,1
que bien que los maestros apoyen el cambio los maestros son como unos papas de nosotros y de nuestros hijos si a ellos les va bien entonces a nuestros hijos les ira bien asi que juntos caminaremos rumbo al cambio Morena la buena,1
Ahí estaremos mañana no clases no trabajo! Tendremos un encuentro familiar a las 11 am en el bosque!,1
AMLO VICH SI MEADO NO,0
todos estamos santos 💪💪,1
Hay yo quiero una camiseta de mi presidente Amlo😍😍😍😍,1
AMLO 2018,1
Voto por voto,1
"Pongamos nuestro granito de arena y a convencer con buenos argumentos a nuestra familia, vecinos y compañeros de trabajo. AMLO 2018",1
Todo está bien pero k Valdenebro esté en esta planilla no lo entendemos x k los sanluisinos no lo keremos él sabe k lo rechazamos k salga deorena,1
"MORENA va con los mejores,EQUIPAZO compañero ,ahora a caminar y despertar conciencias. vamos a ganar.",1
"Falta sonido, no se escucha bien, para los estamos viendo la presentación del equipo.",-1
"Mi gente no cabe duda k la ignorancia política en nuestro país es kilométrica, k feo equipo, también está lleno de tranzas k feo",-1
Felicidades,1
AMLO presidente y votó masivo por juntos haremos historia,1
MORENA,0
Saludos Santos..!!,0
No se oye,-1
Estamos con morena Padrino vamos por un mejor camino,1
Amlove,0
Estoy contigo amigo,1
Bamos con todo santos,1
Con todo Santos yezcas,1
Viva MORENA al cien con AMLO,1
Con todo Javi saludos,1
Todo un equipaso van pa fuera PAN,1
Saludos,0
Tendremos que por el periódico,1
Ponte para el lado de la bocina que no me entero del chisme,1
Excelente presentación felicidades,1
Felicidades y saludos,1
"Claro que si juntos haremos historia Santos Gonzalez Yescas y el verdadero cambió que le urge a México y San Luis, nuestra confianza esta depositada en ustedes que no decaiga el ánimo vamos con todoooo los necesita su gente ,su pueblo.",1
Felicidades  Santos Gonzalez Yescas !! Allí  estaremos.  Apoyando  a nuestros  candidatos. De ...Morena...nuestro voto y de toda la familia  son para ustedes!!!,1
Ahí estaremos. Sr.santos.gonzales.yescas apoyando a.nuestro próximo. Presidente. Arriba morena,1
Que día?????,0
Estamos  contigo  santos  yescassssss,1
Ahí estaremos Yo Y Mi Familia apoyando a Nuestro Nuevo Presidente de toda la Republica.ADELANTE *M L O.,1
En lo k podamos ayudarle ese día ay andaremos semos pueblo santos Gonzales yescas,1
Ahí estaremos  puntuales. Merecemos dignidad respeto  y bienestar para. La familia mexicana,1
Ahí estaremos tantos estamos contigo Espero que seas un buen presidente sanluisino,1
Muy bien santos la invitación para los sanluisinos de la visita de AMLO,1
Bamos a resivir a nuestro futuro presidente  de mexico AMLO,1
vamos masivamente con morena amlo presidente,1
Asi es pasaremos a la historia,1
Ahí estaremos primero dios,1
No faltare Bro,1
Vamos con todo,1
",ahi estaremos.",1
Animo AMLO presidente voto por la dignidad vamos hasta la victoria nuestros hijos se merecen un mejor futuro y juntos haremos historia  no importa que nos llamen locos el tiempo nos dará la razón,1
"Aún y cuándo ya estamos hartos de oír promesas incumplidas, creo que hay que darle el beneficio de la duda a AMLO, porque con los mismos de siempre ya sabemos de sobra cual será el resultado. El poder es del pueblo y hay que hacerlo valer",1
"La transformación de San Luis Río Colorado... De Sonora... Y de México... Ya está en marcha... 

AMLO Presidente 2018-2024...",1
Santos y baldenegro tengan verguenza par de rateros guitense de alli baldenegro ratero y traidor,1
La esperanza del pueblo y el futuro de mexico esta en sus manos y la de san luis en las tuyas animo san lhjslnos,1
Santos Gonzalez Yescas usted me cae bien animoo..espero no nos defraude...,1
Romain Gastelum el amor viene a invadir los corazones de San Luis. Adalberto Cota algunas palabras?,1
Claro hay que ir todos a escuchar a este gran señor . que se. Atrevio a desafiar a la mafia del poder politico. Juntos con nuestro apollo y el voto pasaremos a la historia de mexico,1
alli estaremos AMLO PRESIDENTE sin acarreados por favor solo no hagan lo mismo que PRI y PAN no lo necesitan,1
Ahí estará todos los que estámos dispuestos a trabajar todos juntos por una gran transformación de nuestro gran México hermoso y bello. Presidente el gran Lic. Andres Manuel Lopez Obrador de mente sana y manos limpias igual que Morena vamos todos juntos por hacer el cambio de una nación libre y soberana viva México y su gente. Calidad y humanitaria.,1
"Ahí estaré ,y sin que me den torta y soda,solo porque quiero un cambio en México y se acabe la corrupción y los malos manejos del poder,y porque es la única esperanza ,vamos San Luis ,apoyar .ya basta !!",1
"Todo mi apoyo para Amlo y Morena, lastima que no estaré aquí en esos días, pero con el favor de Dios mi y el de muchos más ahí estaremos el primero de Julio¡¡¡ Dios los bendiga a todos.",1
Animo vamos con todo ahi andaremos apoyando a nuestro proximo presidente de Mexico y SGY suerte amigo hagamos ver el cambio de mexico y de nuestro san luisito Juan Martinez,1
Es verdad alli estaremos ni mas ricos ni mas pobres si faltamos un dia d todos modos nos tienen la pata en el pescueso quiza y con. Andres manuel nos cambie la suerte pues esto es d suerte,1
Ay  estaremos confiamos en el para que cambie México tanta corrupcion ya basta . #yoestoiconamlo,1
Será en el Bosque o en el parque Benito Juárez? Por que en otra publicación mire que decía en el Parque,1
Claro que ahí estaremos toda la familia,1
A esa hora estaremos muchos trabajando💔,-1
Tendra mas eventos en San Luis?,0
TODA LA CARNE AL ASADOR QUE SEA UN GRAN RECIBIMIENTO,1
Ahy estaremos aconpañandolo,1
Claro que sí ahí estaremos,1
Ahí estaremos!!,1
Ahí estaremos,1
Amlove,1
Al 100 con morena ahí estaremos,1
Ahí estaré apoyando,1
Ya estamos  listos,1
Claro que si  cuente con mi apoyo,1
AMLO 2018,1
Yo quiero irrrrrrr yujuuu AMLO 2018,1
No es que yo le aga publicidad a algún candidato pero hay que salir a votar Raza para lograr el verdadero CAMBIO que nuestro país necesita mi voto y uno más para ya sabes quien ANIMO!!!,1
Ya viste a cuanta gente le importa???1273 20 puntos arriba de los de la mafia del poder asustar panteon!!!! Palabras de Amlo!!!!,1
"Siempre lo he apoyado en elecciones anteriores y hoy no será la excepción,porque se de su calidad moral y humana,San Luis lo necesita como su presidente y con el favor de Dios,!!!!juntos haremos historia!!!!!",1
"Un hombre de principios ,honesto trabajador,que se ha forjado por salir adelante y lo ha logrado con mucha dedicación, una persona exitosa, y con gran visión, que es lo que ocupamos para nuestro querido San Luis,felicidades estimado Santos y a seguir avanzando para tenerte como nuestro presidente,""por la tranquilidad ,seguridad,y confianza de nuestra región""",1
Donde estan las oficinas de morena para regitrarse de miembro activo me podra desir mi futuro presidente,1
Mil felicidades!!!!! vamos con todo a ganar JUNTOS HAREMOS HISTORIA. UN GRAN ABRAZO,1
Y ke mos dice de las personas k no tienen agua por kulpa de enrique reyna,1
"Que bien, muchas felicidades!
Sólo le recomiendo que siga el ejemplo de nuestro candidato presidencial y se conduzca con más humildad y sencillez, en los últimos eventos a los que he asistido veo que usted es un poco selectivo respecto a quien saluda y a quién se acerca, tal pareciera evento de gente del PRI, eso no va con los principios de MORENA. Sea la diferencia, realmente.",1
Y quiénes eran los otros candidatos?,1
Adelante vamos con todo,1
Felicidades compañero,1
Felicidads,1
Otraaaa vez..que no hay más,1
QUE NO ERAS DEL PRD?,1
En hora buena ...llegaremos al triunfo pero trabaje para el pueblo por favor.. demuestre que quiere en verdad lo mejor para san luis...que la gente que votemos por usted digamos en un fururo..VALIO LA PENA MI VOTO...saludos,1
Me uno a las miles de felicitaciones que a recibido sr. Muchas felicidades y a trabakar duro por el bien de san luis. Hacer un llamado a todos los que queremos un cambio para que se unan a esta lucha.,1
"Muchas felicidades tío, ya hace falta un cambio a yo en nuestra querida ciudad y se que con usted lo tendremos así que a ganar se a dicho!!!",1
ojaa que no solo se quede en palabras como siempre yo desde que voto he sido pri pero este año cambiare a morena a ver si cierto espero no arrepentirme y cumpla con todo lo que promete,1
Muchas felicidades sr santos yescas cuenta con el apoyo mía y de mi familia esperamos que gane  X el bien de san luis y juntos haremos historia vamos,1
"Felicidades por tan importante decision y claro que votare por usted, y por diputados y senadores de Morena para revertir las pesimas reformas que aprobaron el PRIAN",1
"Nadie mejor que usted Santos Gonzalez Yescas para que represente nuestro municipio ahora que Morena hará historia, felicidades",1
"Primera ves que votaré pues apenas tengo poco que saque mi doble ciudadania y mi voto va por Morena y usted!!!
Animooooo......",1
Felicidades y todo pa delante respecto a lo del agua cuando fui regidor siempre era el problema existe desde hace años a mi la gente me llamaba inmediatamente mandaba las pipas abastecieran de agua ellos lo pueden hacer,1
"Eso es todo Toms!!! San Luis Río Colorado con el peje! Sigue trabajando para concientizar el voto hermanita,principalmente con tu familia!!! Arriba nuestro tabasqueño querido!!! AMLOVE!!! 💪",1
Muchas felicidades Santos en hora buena le deseo muchísima suerte y éxito con el favor de Dios se que este 01 de julio de igual manera saldrá favorecido en las elecciones. Saludos le mando un fuerte abrazo!!,1
Vamos con todo santos personas como usted necesitamos en san luis honesta y trabajadora para sacar adelante a san luis felicidades vamos a ser historia juntos toda la fórmula de morena,1
Muchas felicidades Santos Gonzalez Yescas ahí nos vemos próximamente nos estaremos echando la vuelta ahí con uds para apoyarlo ahí en lo k se pueda saludos,1
"AMLO el cambio q mi pais, nuestro pais necesita.  Pero en unas ciudades urge mas atencion que en otras.  Ojala no se olvide al llwgar a la presidencia de mi natal chihuahua.  Donde dia a dia la inseguridad y abusos cobran vidas de gente inocente.  Donde ya no podemos ir las personas foraneas a visitar nuestras familias por el temor a ser secuestrados.",1
A ganar... Otra vez... Por tercera ocasión... Ahora será... Una victoria.. con tun den te !!!,1
Asi es juntos haremos historia,1
Claro que si todo nuestro apoyo para AMLO,1
Amlo 2018 👍👍,1
"Sr Santos cuando es que ud y su formula empezaran a promover sus propuestas??   Ya por todos lados andan en campaña y uds aun no, vamos con todo, por ese cambio que nos urge",1
"Sr. SANTOS ahora le pregunto, cual es su postura ante los acontesimientos entre el gobierno actual y el ejido la grullita?? En cuanto a dejar sin agua a la colonia Topahue y delimitar a San Luis de esa ma era ??",1
Juntos con MORENA vamos con todo mi toro...este movimiento ya no hay quien lo pare... Solo Dios..y el esta con los mas necesitados no con los RATAS y CORRUPTOS sinvergüenzas del PRIAN...he dicho,1
"Es todo mi líder, vamos por el triunfo",1
"Saludos Santos
Te deseo lo mejor",1
Te amooooooo ❤️💕hermano😍,1
Saludos Santos. Ojala y ganes,1
Saludos santos,1
Saludos mi gran amigo Santos,1
Me encanto hermano que orgullo 👍😉,1
Saludos amigo lo mejor,1
vamos morena,1
Saludos mi estimado!!,1
Buenas tardes quisiera saber donde e tiene las oficinas morena aquí en san Luis río colorado,1
Animo desde mexicali si se puede arriba morena,1
Cuando haga reunión inviteme,1
Quiero una bandera de esas.,1
Seguiremos apoyando a Morena,1
Vamos todos con morena,1
Orando para que esto no suceda líbranos de este loco Padre Celestial Amén,1
Apoyo a morena!!,1
Dios nos libre !!!!,1
Baños con morena di0utados y censdores,1
Morena es todo carro completo,1
Todos con morena. Amlo 2018,1
Vamos con morena  para ver otro  cambio,1
🔝,1
"porque voy a votar por Andres Manuel Lopez Obrador , tengo 18 años escuchanando sus mensajes, de como luchar por un cambio en Mexico, tengo 18 año viendo como buscan algun detalle para atacarlo, sin embargo no encuentran. no es corrupto. He leido algunos de sus libros. Me inspira confianza. 18 años recorriendo el pais, los 300 Distritos Electorales,llegando a comunidades donde jamas ha visto a un candidato que los visite.  Andres Manuel Lopez Obrador es un gran lider politico de Mexico.      por eso debemos votar masivamente por Morena al Congreso.",1
"Luchemos por una Democracia verdadera, donde el pueblo decida nuestro futuro, yo también estoy con Lopez Obrador, La Esperanza de Mexico.",1
"Y claro que todos los Mexicanos vamos a Cambiar la Historia, por eso vamos a votar masivamente para que Andres Manuel sea nuestro proximo Presidente de Mexico.  Juntos haremos Historia.",1
"Mí voto NO es secreto... 

Solo con morena habrá paz justicia honestidad... 

AMLO Presidente 2018-2024 !!!",1
Teddy los dados estan en el aire . el bueno por todo el trabajo realizado es. Santos gonzalez yescas,1
Estamos con el cambio nacional y municipal.. En san luis rio colorado con.. Santos gonzalez yescas,1
"Muy cierto.
Los mexicanos vamos a hacer historia cambiando de régimen.",1
Dr. Tello. Bienvenido al barco de  .m.o.r.e.n.a.  Estamos en el camino correcto amigo .,1
Animo si se puede marena animo santos yesca,1
Voto Masivo por AMLO✊🏽 Claro que sí!!,1
Muy importante,1
Vamos por morena 👍🏻,1
Ay que botas x morena,1
Estamos en la pelea,1
Para presidente mpal por san luis quien va y para diputado federal,1
AMLO ES EL CAMBIO,1
Amlo 2018,1
AMLO 2018,1
Amlo 2018,1
Con todo y por todos de MORENA...,1
"En hora buena, con paso firme, se siembra la confíanza, se riega con cumplimiento de promesas y se cosecha con gratitud",1
Vamos con todo este 2018 por el cambio y las transformaciones de san luis y todo México el triunfo sera para toda la fórmula de morena animo  y vamos con todo,1
"Mujeres y Hombres... Preparados y Honestos... Para lograr la transformación de San Luis... De Sonora... y de México... 

Lily Tellez Senadora 2018-2024 

AMLO Presidente 2018-2024",1
Que satisfaccion sentimos todos los seguidores de m.o.r.e.n.a.  al escuchar a esta gran señara y candidata al senado. Vamos pir muy buen camino y con la gente indicada.. Santos gonzalez yescas.  Vamos por la presidencia y el cambio de san luis. Estamos contigo. Amigo santos yescas,1
Hay q votar por ya saben quien...AMLO 2018,1
Vamos contodo soy morena,1
Arriba y adelante ya sabes quien,1
Apoyo total a ya sabes quien,1
Yo voto por ya sabés quién,1
AMLO 2018,1
Y carro completo,1
👏👏👏👏💪🙋,1
Vamos xr  morena,1
Total apoyo para Morena y Santos Gonzalez Yescas,1
"Venta e instalación de equipos potabilización recidencial a qui conmigo :p
Disculpe santos pero es parte dela conservación :)",1
Gusto en saludarte santos,1
Eso es todo adelante Santos,1
